Date,Open,High,Low,Close,Volume,"BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)"
05/03/2010,119.38,120.68,119.2,120.35,182747808,122.088745755517,117.965754244483
05/04/2010,119.01,119.03,116.92,117.52,360353280,122.251030152531,117.651469847469
05/05/2010,116.56,117.8,115.97,116.82,328973312,122.466508233663,117.281991766337
05/06/2010,116.26,117,105,112.942,647356416,123.551138139719,115.614311860281
05/07/2010,112.64,113.77,109.41,111.26,637558784,124.545435982241,113.791014017759
05/10/2010,115.81,116.65,114.91,116.16,396159488,124.514687165964,113.463762834036
05/11/2010,115.07,117.36,114.91,115.83,317849600,124.465975139606,113.112474860394
05/12/2010,116.29,117.62,116.09,117.45,235607008,124.196112445016,113.008337554984
05/13/2010,117.13,117.68,115.89,115.99,234456064,123.89875300474,112.77569699526
05/14/2010,115.12,115.33,112.87,113.89,345602048,123.926977770222,112.200472229778
05/17/2010,114.2,114.52,111.77,113.95,325944064,123.837766160854,111.703683839146
05/18/2010,114.88,115.22,112.03,112.4,360595968,123.665372295704,111.028077704296
05/19/2010,111.77,112.77,110.36,111.76,394759424,123.472869850596,110.330580149404
05/20/2010,109.38,109.89,107.47,107.54,530423552,123.677502301873,108.777947698127
05/21/2010,105.91,109.38,105.3612,109.115,500909312,123.19332010454,107.99237989546
05/24/2010,108.52,109.39,107.61,107.71,269822976,122.766138626779,107.055561373221
05/25/2010,105.11,107.87,104.38,107.818,396505088,122.62897505147,106.12652494853
05/26/2010,108.48,109.47,106.85,107.17,349719296,122.251217518208,105.283282481792
05/27/2010,109.19,110.8,108.7801,110.76,300870400,121.181496876035,105.343253123965
05/28/2010,110.64,110.724,108.85,109.369,297933312,120.451243704353,105.129156295647
06/01/2010,108.35,109.95,107.37,107.53,277909248,119.301255106051,104.997144893949
06/02/2010,108.08,110.34,107.5091,110.33,240243632,118.537123985492,105.042276014508
06/03/2010,110.65,111.06,109.58,110.71,226618256,117.834536702884,105.133863297116
06/04/2010,108.61,109.33,106.465,106.82,398475520,117.802139821739,104.554060178261
06/07/2010,107.2,107.61,105.41,105.49,264609056,117.961695118139,103.817504881861
06/08/2010,105.57,106.83,104.65,106.62,357774336,117.282453488976,103.542746511024
06/09/2010,107.24,108.28,105.6,106.05,268023248,116.570043722773,103.277156277227
06/10/2010,107.86,109.28,106.0426,109.15,317890560,115.189855685146,103.827344314855
06/11/2010,108.19,109.75,108.12,109.68,214128128,114.038992235697,104.347207764303
06/14/2010,110.52,111.12,109.4,109.509,207196000,113.321293332275,104.626806667725
06/15/2010,110.28,112.1,110.09,112,238268624,112.843886460398,104.909213539602
06/16/2010,111.42,112.42,111.2,111.96,216373936,112.747674116951,104.961425883049
06/17/2010,112.28,112.33,111.05,112.14,263185744,112.826457763915,104.920642236086
06/18/2010,111.83,112.13,111.37,111.729,174006560,113.172627171275,104.993372828725
06/21/2010,113.12,113.2,110.79,111.41,213140624,113.411437357886,104.984062642114
06/22/2010,111.41,111.9,109.41,109.57,239355312,113.450749897836,105.130750102165
06/23/2010,109.64,110.03,108.48,109.23,254698752,113.466541994291,105.256158005709
06/24/2010,108.69,108.83,107.14,107.42,268691968,113.453720256514,105.293979743486
06/25/2010,107.74,108.42,106.77,107.8675,238726496,113.307363233004,105.151086766996
06/28/2010,108.03,108.32,107.14,107.53,169333248,113.281060461084,104.993489538916
06/29/2010,106.02,107.5114,103.55,104.21,373760512,113.597253290859,104.345296709141
06/30/2010,103.92,104.88,102.88,103.22,284101632,113.825416086245,103.406133913755
07/01/2010,103.15,103.49,101.13,102.76,382924800,113.918204801979,102.518345198021
