Date,Time,Open,High,Low,Close,Volume,"Volume Weighted Moving Average - VMA - VMA(Close,60)","Linear Regression - LR - LR(20)","BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)","Standard Deviation - SD - SD(5,Population)"
03/31/2020,11:56 AM,160.85,161.065,160.3565,160.3664,162200,162.490711013687,160.703902857144,163.421840595126,160.400859404874,0.345084230875041
03/31/2020,11:57 AM,160.36,160.8,160.28,160.79,191594,162.43035915548,160.595497142858,163.318221858068,160.292498141932,0.253363624842568
03/31/2020,11:58 AM,160.8,161.21,160.74,161.09,155249,162.382668395235,160.560108571429,163.194818398875,160.246901601125,0.250043529004095
03/31/2020,11:59 AM,161.08,161.1023,160.885,160.915,104727,162.344266285175,160.503362857144,163.083134827805,160.185085172195,0.239596981619313
03/31/2020,12:00 PM,160.9127,161.3166,160.911,161.1018,112031,162.315319099441,160.498094285715,162.960560567339,160.160839432661,0.269318529635421
03/31/2020,12:01 PM,161.1008,161.26,160.74,160.7935,96829,162.293723222066,160.475544285715,162.785626093139,160.139123906861,0.136563298136767
03/31/2020,12:02 PM,160.79,160.99,160.67,160.91,110169,162.266581029229,160.509722857144,162.55004448745,160.18270551255,0.117671808026339
03/31/2020,12:03 PM,160.91,160.96,160.74,160.8889,52962,162.243921322996,160.541411428572,162.344707090674,160.219932909326,0.100128689206235
03/31/2020,12:04 PM,160.895,160.895,160.53,160.53,82156,162.224600137071,160.514462857144,162.164120681691,160.212519318309,0.186534485822094
03/31/2020,12:05 PM,160.55,160.75,160.34,160.4365,93584,162.198673970161,160.483507142858,161.988167463086,160.204622536914,0.192957958114405
03/31/2020,12:06 PM,160.4326,160.78,160.42,160.7532,84526,162.17557899408,160.519631428572,161.804784223376,160.253825776624,0.190198058886229
03/31/2020,12:07 PM,160.7426,160.99,160.71,160.88,103971,162.139904023009,160.577972857144,161.647734178555,160.309875821445,0.183967229689094
03/31/2020,12:08 PM,160.87,161.09,160.77,161.08,83897,162.108490271674,160.671885714287,161.522872902239,160.369737097761,0.233025351413442
03/31/2020,12:09 PM,161.0686,161.25,160.9398,161.1,130501,162.058194625312,160.742798571429,161.481004312192,160.384605687808,0.243578517922582
03/31/2020,12:10 PM,161.09,161.25,160.9359,161.21,82479,162.024563293786,160.830997142858,161.465745662681,160.390864337319,0.164743796250511
03/31/2020,12:11 PM,161.21,161.25,161.12,161.225,70736,161.994878708199,160.929267142858,161.440201012149,160.402908987851,0.123709336755434
03/31/2020,12:12 PM,161.2299,161.25,160.92,161.09,85697,161.958776421323,161.009894285715,161.379556606116,160.431053393884,0.0629603049107006
03/31/2020,12:13 PM,161.09,161.19,160.91,161.11,93782,161.93168688972,161.06787857143,161.380232496712,160.430877503288,0.0581033561025955
