Date,Time,Open,High,Low,Close,Volume,"Simple Moving Average - SMA - SMA(20)","Volume Adjusted Moving Average - VAMA - VAMA(15)","BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)"
03/02/2020,12:37 PM,168.17,168.47,168.13,168.46,82956,167.58792,167.707699041611,168.449153182354,166.726686817646
03/02/2020,12:38 PM,168.44,168.4694,168.18,168.34,52282,167.65092,167.770057123137,168.538261486923,166.763578513077
03/02/2020,12:39 PM,168.35,168.41,168.24,168.41,48810,167.70892,167.859827790649,168.63466944473,166.78317055527
03/02/2020,12:40 PM,168.42,168.43,168.12,168.21,87145,167.75811,167.940620854555,168.680577302181,166.835642697819
03/02/2020,12:41 PM,168.2,168.45,168.2,168.3299,63011,167.820605,168.006882319215,168.719907813225,166.921302186774
03/02/2020,12:42 PM,168.32,168.36,168,168.1885,91329,167.86653,168.066264641097,168.742169937635,166.990890062365
03/02/2020,12:43 PM,168.19,168.232,167.9,167.93,87527,167.90028,168.092709276533,168.729858778907,167.070701221093
03/02/2020,12:44 PM,167.95,168.08,167.68,167.79,102671,167.9376,168.094882936074,168.671277062448,167.203922937552
03/02/2020,12:45 PM,167.79,168,167.69,167.94,73841,167.97935,168.107864322906,168.605980977506,167.352719022494
03/02/2020,12:46 PM,167.9401,168.36,167.94,168.18,67087,168.019015,168.125596447347,168.588381677168,167.449648322832
03/02/2020,12:47 PM,168.19,168.26,168,168.19,78957,168.060015,168.136362546057,168.548950060177,167.571079939823
03/02/2020,12:48 PM,168.1983,168.31,168.04,168.06,56595,168.086865,168.131823734066,168.509353794034,167.664376205966
03/02/2020,12:49 PM,168.0663,168.29,168.0298,168.25,50363,168.115865,168.140114953316,168.497571826097,167.734158173903
03/02/2020,12:50 PM,168.25,168.25,168.04,168.19,61881,168.136545,168.154652888605,168.485889176798,167.787200823202
03/02/2020,12:51 PM,168.21,168.4,167.99,168.1148,103557,168.146285,168.150578196807,168.481513437157,167.811056562843
03/02/2020,12:52 PM,168.12,168.26,167.95,168.26,71908,168.155785,168.134351509256,168.492592727204,167.818977272796
03/02/2020,12:53 PM,168.2438,168.45,168.1859,168.4082,62213,168.168945,168.140029754945,168.523156950566,167.814733049434
03/02/2020,12:54 PM,168.41,168.57,168.36,168.4002,102884,168.18508,168.151735586738,168.550385475432,167.819774524567
03/02/2020,12:55 PM,168.3986,168.53,168.165,168.51,99540,168.21608,168.177800974293,168.581188546024,167.850971453976
03/02/2020,12:56 PM,168.51,168.6,168.3,168.45,78202,168.23058,168.187647044941,168.608439723098,167.852720276901
03/02/2020,12:57 PM,168.48,168.8,168.42,168.75,73877,168.24508,168.223055586913,168.675625805218,167.814534194781
03/02/2020,12:58 PM,168.76,168.76,168.43,168.63,71445,168.25958,168.270435175638,168.720404706786,167.798755293214
03/02/2020,12:59 PM,168.57,168.62,168.31,168.465,68145,168.26233,168.326290293129,168.727349784907,167.797310215093
03/02/2020,1:00 PM,168.54,168.7,168.54,168.6499,58567,168.284325,168.369247232273,168.778088805341,167.790561194658
03/02/2020,1:01 PM,168.65,168.75,168.5,168.66,88090,168.30083,168.403262171025,168.820949179012,167.780710820988
03/02/2020,1:02 PM,168.64,168.69,168.45,168.46,58298,168.314405,168.421484747889,168.836257709046,167.792552290953
03/02/2020,1:03 PM,168.5,168.52,168.14,168.14,63532,168.324905,168.42379929681,168.823321723177,167.826488276823
03/02/2020,1:04 PM,168.124,168.26,168.06,168.1314,74008,168.341975,168.412456721269,168.786404809406,167.897545190594
03/02/2020,1:05 PM,168.11,168.44,168.11,168.39,67733,168.364475,168.423178957687,168.768996143517,167.959953856483
03/02/2020,1:06 PM,168.39,168.45,167.63,167.71,108527,168.340975,168.383540246423,168.831168487833,167.850781512167
03/02/2020,1:07 PM,167.7,167.97,167.7,167.8983,33262,168.32639,168.376992941137,168.849909156909,167.802870843091
03/02/2020,1:08 PM,167.88,167.99,167.65,167.825,53831,168.31464,168.348213382263,168.871062247631,167.758217752369
03/02/2020,1:09 PM,167.8399,167.88,167.47,167.845,63512,168.29439,168.313035398074,168.887046854885,167.701733145115
03/02/2020,1:10 PM,167.86,167.99,167.69,167.7174,37170,168.27076,168.271214454332,168.913731754911,167.627788245089
03/02/2020,1:11 PM,167.72,167.97,167.72,167.94,40325,168.26202,168.24274732548,168.917857524358,167.606182475642
03/02/2020,1:12 PM,167.94,168,167.6463,167.71,64090,168.23452,168.167402301967,168.933120213554,167.535919786446
03/02/2020,1:13 PM,167.69,167.77,167.59,167.71,41813,168.19961,168.110745243636,168.929102099729,167.470117900271
03/02/2020,1:14 PM,167.725,167.93,167.65,167.93,53126,168.1761,168.07349658687,168.908519609225,167.443680390775
03/02/2020,1:15 PM,167.945,168.02,167.67,167.79,73725,168.1401,168.014151839764,168.874110411338,167.406089588662
03/02/2020,1:16 PM,167.805,167.96,167.4727,167.52,61458,168.0936,167.91658769334,168.860293865874,167.326906134126
03/02/2020,1:17 PM,167.5138,167.64,167.43,167.51,41553,168.0316,167.861242215196,168.776173088399,167.287026911601
03/02/2020,1:18 PM,167.505,167.569,167.33,167.33,46795,167.9666,167.811796130222,168.717813074962,167.215386925037
03/02/2020,1:19 PM,167.34,167.56,167.13,167.26,74984,167.90635,167.736347908352,168.680931844613,167.131768155387
03/02/2020,1:20 PM,167.24,167.35,167.11,167.22,65317,167.834855,167.645596073011,168.585303424563,167.084406575437
03/02/2020,1:21 PM,167.22,167.47,167.22,167.4,75545,167.771855,167.614691130615,168.441887654384,167.101822345616
